CellType_Category,Gene,LogFC,P-value,Adjusted P-value
Epithelial,TFAP2A,10.581058,1.4266034222147033e-12,1.3814913830569826e-11
Epithelial,RPL19P18,9.785588,2.7520150692172637e-11,2.534850872311874e-10
Epithelial,TBILA,9.623439,1.2968658664101896e-05,8.85232956818792e-05
Epithelial,ENSG00000269916,9.541997,1.6206010357078304e-05,0.00010956856613822902
Epithelial,ENSG00000238272,9.499885,1.7451771118120281e-31,2.7210464492437136e-30
Epithelial,PACRG-AS3,8.931987,3.768727765104839e-06,2.676217344176063e-05
Epithelial,IRX2,8.781867,5.440007604741646e-38,9.411389779826578e-37
Epithelial,KRT16P1,8.756831,3.127149302197059e-10,2.7530797285017807e-09
Epithelial,ERICH3,8.70026,0.0,0.0
Epithelial,ENSG00000260337,8.696799,1.2434754402235385e-10,1.1133558299905273e-09
Epithelial,FAM166B,8.580379,3.6510040352732983e-47,7.13267644434602e-46
Epithelial,FOXA1,8.534695,5.755127953392308e-26,8.080684927444245e-25
Epithelial,TSPAN19,8.519832,3.3470276869127384e-233,2.3466627670677008e-231
Epithelial,ENSG00000280439,8.516538,7.613907616271328e-12,7.179067769661893e-11
Epithelial,KRT16P2,8.406424,0.00026455594579587893,0.0016035107148281995
Epithelial,CFAP73,8.341273,5.708395959995741e-204,3.491212381387352e-202
Epithelial,ELF3,8.337749,0.0,0.0
Epithelial,ENSG00000268566,8.327138,9.513165600476988e-42,1.7330223214407395e-40
Endothelial,LPAR1,-27.695469,1.927924593213146e-06,6.476246616193065e-05
Endothelial,AQP9,-27.222282,0.00032442088422620486,0.007602756158765618
Endothelial,CLEC14A,9.959079,1.9395923011597143e-05,0.0005605487499243139
Endothelial,FENDRR,8.772838,1.2449754380994368e-06,4.300714179522106e-05
Endothelial,PTPRB,8.203696,1.6578894298484374e-113,3.5336255307789594e-110
Endothelial,CLDN5,8.125335,1.5816188382482247e-45,4.682031099780925e-43
Endothelial,GPR132,-8.014508,3.251966011657734e-11,1.7393325865112409e-09
Endothelial,LDB2,7.8684406,3.122668588199764e-196,1.3311311657777954e-191
Endothelial,TMEM100,7.8380265,2.5547221417316054e-10,1.2842298992657415e-08
Endothelial,ANO2,7.6230316,6.49347841391598e-97,9.22679992761368e-94
Endothelial,CDH5,7.4354887,5.283520056234686e-28,7.336348304793883e-26
Endothelial,GATA2,7.372348,0.0002480974873610825,0.005938180623934994
Endothelial,ARHGEF15,7.331489,9.342788383212742e-05,0.0024095504115993526
Endothelial,RAMP2,7.3264256,9.72255298564984e-09,4.259537396426324e-07
Endothelial,RAMP3,7.292146,1.3774980439308813e-19,1.282095777656891e-17
Endothelial,BTNL9,7.2907114,6.850561396882253e-19,6.046081391848792e-17
Endothelial,ADAMTS9-AS1,7.186147,1.579660459820477e-05,0.0004615336948679046
Endothelial,RAPGEF4,7.047987,4.509846739554146e-103,8.010239450571422e-100
Endothelial,PREX2,6.943651,6.858961193903706e-84,7.497020455736594e-81
Endothelial,VWF,6.911267,5.541525150381539e-123,1.817108723926648e-119
Stromal,TFEC,-28.521067,1.5028461192195362e-10,9.84075643165751e-09
Stromal,MIR3945HG,-27.475836,0.00026954224380119375,0.007390600168059509
Stromal,COL1A2,9.007042,2.848021282279177e-95,1.3489494580110752e-91
Stromal,COL3A1,8.181563,6.203456382384054e-72,1.7629395911217828e-68
Stromal,COL6A3,8.039124,1.0892087211271749e-79,3.5715991818622475e-76
Stromal,PRRX1,7.828116,6.232229749688377e-29,1.4438450530962832e-26
Stromal,COL5A2,7.580164,4.897174626268085e-88,2.0875675996855593e-84
Stromal,THY1,7.513147,0.00022508435318824697,0.006287611931657006
Stromal,PDGFRB,7.457376,6.621057657241795e-18,7.928158590250091e-16
Stromal,AEBP1,7.434304,2.211944425695137e-11,1.5900635240899209e-09
Stromal,CD86,-7.2869825,1.933327984483406e-18,2.375040499209182e-16
Stromal,SCN7A,7.273167,9.304234282617479e-11,6.2263877393943155e-09
Stromal,PDZRN3,7.187244,8.851033386043947e-62,1.3475066113581477e-58
Stromal,COL1A1,7.155334,4.340762222007028e-53,3.628196313719913e-50
Stromal,ENSG00000258399,7.1009684,9.652027466892731e-16,1.0084476148497631e-13
Stromal,COL6A2,7.059891,1.546024686998619e-87,5.991267305216103e-84
Stromal,LUM,7.043339,7.009192713832317e-32,2.005287698021772e-29
Stromal,THBS2,7.0279007,2.1977850686029518e-16,2.34804967178964e-14
Stromal,IL1B,-7.0190606,0.00019015629480298422,0.005429325207542941
Stromal,BGN,6.930433,3.7549942147724095e-09,2.2017591937732911e-07
